"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"DTP";"Sarampo";"Haemophilus influenzae b";"Ignorado";" Total"
"11 Rondônia";"122,22";"90,79";"104,67";"115,31";"105,92";"103,70";"0";"98,38";"93,26"
"12 Acre";"99,73";"28,87";"71,71";"73,51";"59,69";"68,15";"0";"97,91";"66,38"
"13 Amazonas";"108,68";"21,17";"86,73";"108,21";"65,40";"72,42";"0";"86,47";"70,62"
"14 Roraima";"122,06";"74,29";"103,03";"112,89";"94,96";"89,50";"0";"140,18";"97,45"
"15 Pará";"85,43";"10,52";"83,76";"80,62";"60,82";"61,00";"0,00";"112,47";"67,46"
"16 Amapá";"104,39";"34,62";"76,07";"93,36";"77,63";"80,61";"0";"98,63";"73,77"
"17 Tocantins";"115,70";"57,18";"108,06";"87,81";"96,23";"100,32";"0";"107,62";"86,73"
"21 Maranhão";"118,90";"3,28";"64,78";"76,33";"68,78";"87,08";"0";"96,85";"68,09"
"22 Piauí";"108,22";"0";"83,15";"1,27";"86,12";"86,29";"0";"108,12";"64,59"
"23 Ceará";"100,44";"1,02";"90,05";"0,63";"88,58";"90,77";"0";"102,64";"64,09"
"24 Rio Grande do Norte";"92,47";"0,73";"73,31";"0,49";"77,63";"74,91";"0";"105,67";"58,99"
"25 Paraíba";"103,05";"0,56";"87,05";"0,12";"83,65";"83,12";"0";"97,48";"61,39"
"26 Pernambuco";"133,72";"1,31";"131,43";"0,18";"100,38";"113,48";"0";"126,11";"81,41"
"27 Alagoas";"96,86";"4,38";"60,33";"0,01";"58,18";"61,49";"0";"104,69";"54,52"
"28 Sergipe";"125,01";"1,26";"98,19";"0,02";"98,26";"96,44";"0";"112,88";"71,66"
"29 Bahia";"105,02";"11,82";"80,54";"0,83";"76,84";"86,40";"0";"107,43";"64,03"
"31 Minas Gerais";"86,92";"1,18";"82,20";"14,57";"83,53";"82,96";"0,00";"105,28";"62,43"
"32 Espírito Santo";"116,11";"100,01";"120,33";"0,03";"104,00";"107,62";"0";"127,37";"89,21"
"33 Rio de Janeiro";"124,32";"1,88";"102,14";"0,03";"110,61";"103,65";"0,01";"110,67";"73,78"
"35 São Paulo";"131,59";"2,79";"114,70";"5,25";"119,79";"124,72";"1,03";"108,85";"79,73"
"41 Paraná";"112,12";"44,53";"96,47";"0,03";"95,74";"113,72";"1,76";"53,13";"63,40"
"42 Santa Catarina";"94,49";"68,98";"88,54";"0,21";"88,60";"92,18";"0";"105,87";"71,64"
"43 Rio Grande do Sul";"102,25";"2,18";"87,38";"0,51";"87,73";"84,22";"0,00";"102,48";"63,25"
"50 Mato Grosso do Sul";"113,70";"0,71";"93,79";"70,34";"88,79";"90,18";"0";"108,78";"75,01"
"51 Mato Grosso";"112,27";"5,75";"109,78";"70,74";"94,15";"95,64";"0";"107,21";"78,08"
"52 Goiás";"105,67";"5,36";"91,10";"59,51";"88,63";"86,15";"0";"111,34";"73,23"
"53 Distrito Federal";"159,36";"89,69";"127,57";"3,46";"130,00";"1,30";"45,09";"101,69";"84,43"
"Total";"111,61";"12,63";"95,30";"18,49";"92,97";"95,26";"0,84";"104,36";"70,65"
